filename,bucket,damage,backend,exit,err_class,stderr_head
fuzz_00080_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 17:1"
fuzz_00080_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 17:1"
fuzz_00081_malformed.t27,malformed,drop-semicolon,rust,0,ok,
fuzz_00081_malformed.t27,malformed,drop-semicolon,zig,0,ok,
fuzz_00081_malformed.t27,malformed,drop-semicolon,c,0,ok,
fuzz_00082_valid.t27,valid,ok,rust,0,ok,
fuzz_00082_valid.t27,valid,ok,zig,0,ok,
fuzz_00082_valid.t27,valid,ok,c,0,ok,
fuzz_00083_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00083_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00083_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00084_malformed.t27,malformed,bad-type-name,rust,0,ok,
fuzz_00084_malformed.t27,malformed,bad-type-name,zig,0,ok,
fuzz_00084_malformed.t27,malformed,bad-type-name,c,0,ok,
fuzz_00085_semi-valid.t27,semi-valid,bool-cast-mismatch,rust,0,ok,
fuzz_00085_semi-valid.t27,semi-valid,bool-cast-mismatch,zig,0,ok,
fuzz_00085_semi-valid.t27,semi-valid,bool-cast-mismatch,c,0,ok,
fuzz_00086_malformed.t27,malformed,rename-return-keyword,rust,0,ok,
fuzz_00086_malformed.t27,malformed,rename-return-keyword,zig,0,ok,
fuzz_00086_malformed.t27,malformed,rename-return-keyword,c,0,ok,
fuzz_00087_valid.t27,valid,ok,rust,0,ok,
fuzz_00087_valid.t27,valid,ok,zig,0,ok,
fuzz_00087_valid.t27,valid,ok,c,0,ok,
fuzz_00088_valid.t27,valid,ok,rust,0,ok,
fuzz_00088_valid.t27,valid,ok,zig,0,ok,
fuzz_00088_valid.t27,valid,ok,c,0,ok,
fuzz_00089_valid.t27,valid,ok,rust,0,ok,
fuzz_00089_valid.t27,valid,ok,zig,0,ok,
fuzz_00089_valid.t27,valid,ok,c,0,ok,
fuzz_00090_malformed.t27,malformed,bad-return-arrow,rust,0,ok,
fuzz_00090_malformed.t27,malformed,bad-return-arrow,zig,0,ok,
fuzz_00090_malformed.t27,malformed,bad-return-arrow,c,0,ok,
fuzz_00091_malformed.t27,malformed,drop-semicolon,rust,0,ok,
fuzz_00091_malformed.t27,malformed,drop-semicolon,zig,0,ok,
fuzz_00091_malformed.t27,malformed,drop-semicolon,c,0,ok,
fuzz_00092_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00092_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00092_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00093_valid.t27,valid,ok,rust,0,ok,
fuzz_00093_valid.t27,valid,ok,zig,0,ok,
fuzz_00093_valid.t27,valid,ok,c,0,ok,
fuzz_00094_malformed.t27,malformed,bad-return-arrow,rust,0,ok,
fuzz_00094_malformed.t27,malformed,bad-return-arrow,zig,0,ok,
fuzz_00094_malformed.t27,malformed,bad-return-arrow,c,0,ok,
fuzz_00095_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 28:1"
fuzz_00095_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 28:1"
fuzz_00095_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 28:1"
fuzz_00096_valid.t27,valid,ok,rust,0,ok,
fuzz_00096_valid.t27,valid,ok,zig,0,ok,
fuzz_00096_valid.t27,valid,ok,c,0,ok,
fuzz_00097_valid.t27,valid,ok,rust,0,ok,
fuzz_00097_valid.t27,valid,ok,zig,0,ok,
fuzz_00097_valid.t27,valid,ok,c,0,ok,
fuzz_00098_valid.t27,valid,ok,rust,0,ok,
fuzz_00098_valid.t27,valid,ok,zig,0,ok,
fuzz_00098_valid.t27,valid,ok,c,0,ok,
fuzz_00099_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00099_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00099_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00100_valid.t27,valid,ok,rust,0,ok,
fuzz_00100_valid.t27,valid,ok,zig,0,ok,
fuzz_00100_valid.t27,valid,ok,c,0,ok,
fuzz_00101_valid.t27,valid,ok,rust,0,ok,
fuzz_00101_valid.t27,valid,ok,zig,0,ok,
fuzz_00101_valid.t27,valid,ok,c,0,ok,
fuzz_00102_valid.t27,valid,ok,rust,0,ok,
fuzz_00102_valid.t27,valid,ok,zig,0,ok,
fuzz_00102_valid.t27,valid,ok,c,0,ok,
fuzz_00103_valid.t27,valid,ok,rust,0,ok,
fuzz_00103_valid.t27,valid,ok,zig,0,ok,
fuzz_00103_valid.t27,valid,ok,c,0,ok,
fuzz_00104_malformed.t27,malformed,rename-return-keyword,rust,0,ok,
fuzz_00104_malformed.t27,malformed,rename-return-keyword,zig,0,ok,
fuzz_00104_malformed.t27,malformed,rename-return-keyword,c,0,ok,
fuzz_00105_malformed.t27,malformed,drop-semicolon,rust,0,ok,
fuzz_00105_malformed.t27,malformed,drop-semicolon,zig,0,ok,
fuzz_00105_malformed.t27,malformed,drop-semicolon,c,0,ok,
fuzz_00106_semi-valid.t27,semi-valid,unknown-ident-in-body,rust,0,ok,
fuzz_00106_semi-valid.t27,semi-valid,unknown-ident-in-body,zig,0,ok,
fuzz_00106_semi-valid.t27,semi-valid,unknown-ident-in-body,c,0,ok,
fuzz_00107_valid.t27,valid,ok,rust,0,ok,
fuzz_00107_valid.t27,valid,ok,zig,0,ok,
fuzz_00107_valid.t27,valid,ok,c,0,ok,
fuzz_00108_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00108_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00108_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00109_malformed.t27,malformed,bad-return-arrow,rust,0,ok,
fuzz_00109_malformed.t27,malformed,bad-return-arrow,zig,0,ok,
fuzz_00109_malformed.t27,malformed,bad-return-arrow,c,0,ok,
fuzz_00110_valid.t27,valid,ok,rust,0,ok,
fuzz_00110_valid.t27,valid,ok,zig,0,ok,
fuzz_00110_valid.t27,valid,ok,c,0,ok,
fuzz_00111_malformed.t27,malformed,drop-semicolon,rust,0,ok,
fuzz_00111_malformed.t27,malformed,drop-semicolon,zig,0,ok,
fuzz_00111_malformed.t27,malformed,drop-semicolon,c,0,ok,
fuzz_00112_semi-valid.t27,semi-valid,unknown-ident-in-body,rust,0,ok,
fuzz_00112_semi-valid.t27,semi-valid,unknown-ident-in-body,zig,0,ok,
fuzz_00112_semi-valid.t27,semi-valid,unknown-ident-in-body,c,0,ok,
fuzz_00113_semi-valid.t27,semi-valid,bool-cast-mismatch,rust,0,ok,
fuzz_00113_semi-valid.t27,semi-valid,bool-cast-mismatch,zig,0,ok,
fuzz_00113_semi-valid.t27,semi-valid,bool-cast-mismatch,c,0,ok,
fuzz_00114_semi-valid.t27,semi-valid,arity-swap/no-op,rust,0,ok,
fuzz_00114_semi-valid.t27,semi-valid,arity-swap/no-op,zig,0,ok,
fuzz_00114_semi-valid.t27,semi-valid,arity-swap/no-op,c,0,ok,
fuzz_00115_semi-valid.t27,semi-valid,unknown-ident-in-body,rust,0,ok,
fuzz_00115_semi-valid.t27,semi-valid,unknown-ident-in-body,zig,0,ok,
fuzz_00115_semi-valid.t27,semi-valid,unknown-ident-in-body,c,0,ok,
fuzz_00116_valid.t27,valid,ok,rust,0,ok,
fuzz_00116_valid.t27,valid,ok,zig,0,ok,
fuzz_00116_valid.t27,valid,ok,c,0,ok,
fuzz_00117_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 24:1"
fuzz_00117_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 24:1"
fuzz_00117_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 24:1"
fuzz_00118_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00118_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00118_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00119_valid.t27,valid,ok,rust,0,ok,
fuzz_00119_valid.t27,valid,ok,zig,0,ok,
fuzz_00119_valid.t27,valid,ok,c,0,ok,
fuzz_00120_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 30:1"
fuzz_00120_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 30:1"
fuzz_00120_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 30:1"
fuzz_00121_valid.t27,valid,ok,rust,0,ok,
fuzz_00121_valid.t27,valid,ok,zig,0,ok,
fuzz_00121_valid.t27,valid,ok,c,0,ok,
fuzz_00122_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00122_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00122_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00123_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00123_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00123_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00124_valid.t27,valid,ok,rust,0,ok,
fuzz_00124_valid.t27,valid,ok,zig,0,ok,
fuzz_00124_valid.t27,valid,ok,c,0,ok,
fuzz_00125_malformed.t27,malformed,drop-semicolon,rust,0,ok,
fuzz_00125_malformed.t27,malformed,drop-semicolon,zig,0,ok,
fuzz_00125_malformed.t27,malformed,drop-semicolon,c,0,ok,
fuzz_00126_valid.t27,valid,ok,rust,0,ok,
fuzz_00126_valid.t27,valid,ok,zig,0,ok,
fuzz_00126_valid.t27,valid,ok,c,0,ok,
fuzz_00127_semi-valid.t27,semi-valid,unknown-ident-in-body,rust,0,ok,
fuzz_00127_semi-valid.t27,semi-valid,unknown-ident-in-body,zig,0,ok,
fuzz_00127_semi-valid.t27,semi-valid,unknown-ident-in-body,c,0,ok,
fuzz_00128_malformed.t27,malformed,drop-semicolon,rust,0,ok,
