backend,spec,run_idx,elapsed_ns,gen_lines
rust,packet_loss_injection,4,1695191,47
rust,test_validator,0,2092472,300
rust,test_validator,1,1976434,300
rust,test_validator,2,1975955,300
rust,test_validator,3,1971466,300
rust,test_validator,4,2055267,300
zig,wire,0,1552841,73
zig,wire,1,1540693,73
zig,wire,2,1534398,73
zig,wire,3,1634874,73
zig,wire,4,1574463,73
zig,hello,0,1751029,108
zig,hello,1,1737269,108
zig,hello,2,1790933,108
zig,hello,3,1722233,108
zig,hello,4,1722625,108
zig,etx,0,1713413,101
zig,etx,1,1615688,101
zig,etx,2,1611948,101
zig,etx,3,1614212,101
zig,etx,4,1608468,101
zig,crc16,0,1553979,55
zig,crc16,1,1567928,55
zig,crc16,2,1558836,55
zig,crc16,3,1593764,55
zig,crc16,4,1675698,55
zig,byte_utils,0,1584725,63
zig,byte_utils,1,1565395,63
zig,byte_utils,2,1560605,63
zig,byte_utils,3,1617729,63
zig,byte_utils,4,1571832,63
zig,mesh_routing,0,1691981,123
zig,mesh_routing,1,1674023,123
zig,mesh_routing,2,1770798,123
zig,mesh_routing,3,1673135,123
zig,mesh_routing,4,1679207,123
zig,key_management,0,1914387,204
zig,key_management,1,1993593,204
zig,key_management,2,1933247,204
zig,key_management,3,1902137,204
zig,key_management,4,1894804,204
zig,frame_buffer,0,1624756,66
zig,frame_buffer,1,1598569,66
zig,frame_buffer,2,1538318,66
zig,frame_buffer,3,1584424,66
zig,frame_buffer,4,1610112,66
zig,packet_queue,0,1631438,94
zig,packet_queue,1,1593036,94
zig,packet_queue,2,1574898,94
zig,packet_queue,3,1682376,94
zig,packet_queue,4,1605487,94
zig,congestion_control,0,1712540,154
zig,congestion_control,1,1723818,154
zig,congestion_control,2,2046733,154
zig,congestion_control,3,1947484,154
zig,congestion_control,4,1821823,154
zig,flow_control,0,1787091,151
zig,flow_control,1,2317998,151
zig,flow_control,2,1795221,151
zig,flow_control,3,1794036,151
zig,flow_control,4,1776357,151
zig,self_healing,0,2060557,200
zig,self_healing,1,1865892,200
zig,self_healing,2,1849406,200
zig,self_healing,3,1827283,200
zig,self_healing,4,1841854,200
zig,trust_manager,0,1801459,66
zig,trust_manager,1,1757704,66
zig,trust_manager,2,1702866,66
zig,trust_manager,3,1727292,66
zig,trust_manager,4,1721821,66
zig,timer,0,1615248,78
zig,timer,1,1528756,78
zig,timer,2,1631337,78
zig,timer,3,1566766,78
zig,timer,4,1576009,78
zig,transport_tx_fsm,0,1755873,185
zig,transport_tx_fsm,1,1709707,185
zig,transport_tx_fsm,2,1660956,185
zig,transport_tx_fsm,3,1680250,185
zig,transport_tx_fsm,4,1646717,185
zig,redundancy_management,0,1966431,223
zig,redundancy_management,1,2206019,223
zig,redundancy_management,2,1922176,223
zig,redundancy_management,3,1992298,223
zig,redundancy_management,4,1905125,223
zig,fault_detection,0,1834445,193
